FragmentID,Fragment,area
A1,1,8.218729316
A2,2,10.42929942
A3,3,14.29947729
A4,4,14.91923566
A5,5,16.81134115
A6,6,21.58302941
A7,7,23.61428715
A8,8,29.00258486
B1,9,35.21682969
B2,10,36.12495536
B3,11,44.25506539
B4,12,69.69711012
B5,13,73.35886527
B6,14,80.46632829
B7,15,82.02380438
B8,16,90.40810726
C1,17,129.9818703
C2,18,173.9582168
C3,19,362.503505
C4,20,516.3801929
C5,21,683.152108
C6,22,790.3178424
D1,23,1502.861735
D2,24,2297.079958
D3,25,2423.616652
D4,26,2872.870215
E1,27,3196.929322
