"","Fragment","SM","TOC","TC","TN","pH","EC","SM_EU","TOC_EU","TC_EU","TN_EU","pH_EU","EC_EU","Spatial_distance"
"1",1,23.7382730233333,0.972333333333333,1.0707,0.102366666666667,9.12,234.6,10.7146067733333,0.433333333333333,0.346266666666667,0.0528666666666667,0.933333333333334,157.933333333333,2.01397127851643
"2",2,16.1161639033333,1.10466666666667,1.00853333333333,0.0933,9.08666666666667,188.333333333333,2.21004138,0.2,0.0278666666666667,0.0153333333333333,0.5,52.6666666666667,2.0141413926951
"3",3,22.1304135833333,1.36266666666667,1.20416666666667,0.114633333333333,9.50333333333333,316.333333333333,11.7896390333333,0.843333333333333,0.452533333333333,0.0501333333333333,0.493333333333333,124,2.01412227939416
"4",4,23.82841739,1.198,1.18333333333333,0.1121,9.37333333333333,343.866666666667,15.4130368,0.216666666666667,0.132733333333333,0.0157333333333333,0.726666666666667,240.933333333333,2.01414682536822
"5",5,13.80311178,1.43266666666667,1.27093333333333,0.1253,8.82333333333333,180.366666666667,2.42973862666667,0.482,0.3348,0.0448,0.686666666666666,134.4,2.01411652416857
"6",6,18.68304792,1.667,1.39556666666667,0.144766666666667,8.76333333333333,208.733333333333,3.71348402,0.376666666666667,0.321266666666667,0.032,0.4,72.5333333333333,2.01414593148003
"7",7,15.5144836433333,1.333,1.26533333333333,0.119966666666667,8.74666666666667,217.833333333333,0.69667458,0.272,0.232533333333333,0.0212666666666667,0.833333333333333,163.2,2.0140519918704
"8",8,13.766801,0.961666666666667,1.00066666666667,0.093,9.32333333333333,255.8,1.60481273333333,0.211333333333333,0.0724,0.0122666666666667,0.54,157.733333333333,2.01411486799645
"9",9,18.3409224616667,1.19716666666667,1.2128,0.115416666666667,9.21333333333333,306.433333333333,2.46843771933333,0.469266666666667,0.292453333333333,0.03974,0.66,192.013333333333,3.32938451657455
"10",10,18.1643638966667,1.25266666666667,1.13096666666667,0.110166666666667,8.82666666666667,173.933333333333,7.74569248,0.462266666666667,0.209066666666667,0.02888,0.513333333333334,59.6266666666667,3.72261488174856
"11",11,16.3044223066667,1.33066666666667,1.26445,0.121233333333333,8.96166666666667,237.833333333333,2.383597152,0.354666666666667,0.197113333333333,0.02128,0.292666666666667,100.586666666667,3.42215679323818
"12",12,17.2774730216667,1.51683333333333,1.33791666666667,0.133533333333333,8.405,158.283333333333,2.00191448066667,0.452333333333333,0.289273333333333,0.042,0.498,92.1133333333333,5.13839076154184
"13",13,17.556184295,1.87433333333333,1.6035,0.162516666666667,8.43166666666667,183.533333333333,1.590180034,0.4752,0.312613333333333,0.0344733333333333,0.354,79.24,3.98794348681993
"14",14,18.0914268283333,1.23833333333333,1.30328333333333,0.11545,8.82666666666667,205.183333333333,1.24749758333333,0.3972,0.303566666666667,0.03222,0.54,105.14,6.79288815621501
"15",15,17.2401507483333,1.54116666666667,1.48245,0.142816666666667,9.05833333333333,362.816666666667,2.54206545133333,0.823666666666667,0.416526666666667,0.0641133333333333,1.05266666666667,274.3,4.70215896996222
"16",16,15.274436915,0.904666666666667,1.0452,0.0900333333333333,8.62166666666667,156.483333333333,1.52722918866667,0.212266666666667,0.17756,0.01768,0.247333333333334,49.9,7.07827261601587
"17",17,15.7691399722222,1.34711111111111,1.38761111111111,0.126011111111111,8.60555555555556,180.477777777778,2.79398205777778,0.606222222222222,0.361866666666667,0.0429944444444444,0.427222222222222,59.4166666666667,5.94072594610561
"18",18,19.2292589566667,1.88077777777778,1.78494444444444,0.171833333333333,8.53222222222222,206.788888888889,2.74521858833333,0.896333333333333,0.617294444444444,0.0732944444444445,0.57,78.2666666666667,8.90635790923183
"19",19,16.5340283166667,1.517,1.38856666666667,0.129711111111111,9.02888888888889,257.388888888889,2.42412303944444,0.816222222222222,0.491011111111111,0.0556222222222222,0.44,111.666666666667,18.5120484528933
"20",20,14.7590962766667,1.39377777777778,1.39386666666667,0.135722222222222,9.12666666666667,358.577777777778,2.87836453111111,0.552222222222222,0.370527777777778,0.0458833333333333,0.485555555555556,187.711111111111,12.4763532765537
"21",21,16.0326462244444,1.93877777777778,1.83195555555556,0.189044444444444,8.34,182.177777777778,2.58711422444444,0.358777777777778,0.263044444444444,0.0379666666666667,0.420555555555556,52.8166666666667,32.731545758468
"22",22,18.3712285044444,2.23533333333333,2.051,0.193388888888889,8.06888888888889,168.544444444444,4.24365439777778,0.898944444444445,0.604505555555556,0.0553722222222222,0.145555555555556,37.3555555555556,10.3819439313522
"23",23,21.3203613875,2.57216666666667,2.15466666666667,0.214741666666667,8.04083333333333,168.25,5.27904409621212,0.627545454545455,0.588490909090909,0.0567712121212121,0.281969696969697,36.0333333333333,28.0621094902439
"24",24,23.0124903258333,2.86225,2.57823333333333,0.236833333333333,8.14,202.5,7.20655636439394,1.44737878787879,1.17317272727273,0.106454545454545,0.553030303030303,69.1878787878788,33.8329470591033
"25",25,21.6132838391667,2.65141666666667,2.366575,0.230758333333333,7.81416666666667,155.808333333333,4.62797431045454,0.769287878787879,0.606913636363636,0.060080303030303,0.298030303030303,24.3348484848485,26.4353696827644
"26",26,18.7669746291667,2.25083333333333,1.93134166666667,0.201308333333333,8.14666666666667,201.758333333333,4.55279746106061,0.667424242424242,0.54755303030303,0.053819696969697,0.556060606060606,89.1045454545454,51.3983808436903
"27",27,18.9198116930667,2.1568,1.94128,0.185466666666667,8.37,212.4,9.11086584881905,0.986380952380952,0.669537142857143,0.0761809523809524,0.621714285714286,128.655238095238,31.2565558114519
