"","index","Intercept","Slope","R.squared","P.value"
"1","Plant_Stotal","-10.0834400308124","5.57676341947866","0.788117697256271","6.64181386405831e-10"
"2","Fungal_Stotal","861.854107653399","132.875635001694","0.831080698579414","3.81577736102598e-11"
"3","Bacterial_Stotal","2199.12540991381","7.35872156977865","0.241742378645143","0.00919511858876582"
"4","Plant_alpha","2.43257633039789","0.578879381357178","0.591912239947505","2.73160301783552e-06"
"5","Fungal_alpha","350.425843334719","27.2886693813479","0.574570948205124","4.65649959090326e-06"
"6","Bacterial_alpha","1655.31982964936","6.21445748452638","0.0174770381158303","0.510971967829176"
"7","Plant_beta","0.355629562872186","0.0513835071739351","0.355997505526087","0.00101963082871947"
"8","Fungal_beta","0.781805289877701","0.00110759914992755","0.00510412255235155","0.723251673432542"
"9","Bacterial_beta","0.529049612731373","-0.0213157604887331","0.203468184184103","0.0182002261399101"
"10","Plant_beta_within_transect","0.366620388306152","0.0256645747615614","0.105097245795596","0.0990009290995527"
"11","Fungal_beta_within_transect","0.795792914334388","-0.00746888719046836","0.0977134397455691","0.112401282644686"
"12","Bacterial_beta_within_transect","0.528136248575767","-0.0284815011176766","0.326458533337939","0.00185168392057191"
"13","SM","-0.33587595668518","0.0701581717439895","0.0176863541497012","0.508429695524603"
"14","TOC","-2.09481150969313","0.437566734811243","0.687971404137176","8.91744598514771e-08"
"15","TC","-2.18875776479954","0.457190340994636","0.75106216308768","5.09023906884504e-09"
"16","TN","-2.16001448922714","0.451186411198662","0.731465442206565","1.32832039071836e-08"
"17","pH","1.94637363773371","-0.406560854494533","0.593926785027499","2.56387799710992e-06"
"18","EC","0.660504852809128","-0.137967044019635","0.0683962844285444","0.187603239934347"
"19","SM_EU","0.152261896549683","-0.03180464714898","0.00363465299153305","0.76515791459332"
"20","TOC_EU","-1.60502665012169","0.335259887263869","0.403873148356224","0.000368081613092468"
"21","TC_EU","-1.81961111139317","0.380082546307569","0.519084002228","2.25425043962452e-05"
"22","TN_EU","-1.6346127169148","0.341439860298514","0.418899874970228","0.000263378502453743"
"23","pH_EU","0.94612509995424","-0.197627743018551","0.140338752725145","0.0541997781768099"
"24","EC_EU","0.957630927280002","-0.200031093998312","0.143772826551541","0.0511097633460074"
"25","Spatial_distance","-2.22888739547648","0.465572666269839","0.77885523018798","1.13997864396625e-09"
"26","plant_Srare","0.230712494427205","2.0538864714576","0.776540273754222","1.30021958615437e-09"
"27","fungal_Srare","529.074475229219","130.61859303557","0.871788896290019","1.18893033675157e-12"
"28","bacterial_Srare","2153.03916156465","2.19238153088701","0.0083335872454035","0.650656089025426"
"29","rarefied_plant_Stotal","1.71465530495962","1.64419910782964","0.753632035063256","4.4640827762048e-09"
"30","rarefied_plant_alpha","2.44098992709629","0.577246580254289","0.589133479813769","2.97964183528405e-06"
"31","rarefied_plant_beta","0.355843911852405","0.0513179624693742","0.355421176765576","0.00103179560496704"
"32","rarefied_fungal_Stotal","711.60021541117","43.9705841325436","0.603566127001844","1.88526039201241e-06"
"33","rarefied_fungal_alpha","350.599753656969","27.2310214303989","0.574212431782246","4.70708916988187e-06"
"34","rarefied_fungal_beta","0.781378548787501","0.00123674166597849","0.00638556503950672","0.691950136066109"
"35","rarefied_bacterial_Stotal","2182.50343101393","-12.4865515197881","0.274669598749623","0.00501628095103205"
"36","rarefied_bacterial_alpha","1655.50912522781","6.21661865228302","0.0174504569854579","0.511296346100752"
"37","rarefied_bacterial_beta","0.529578842588938","-0.0215201864717616","0.206416354983247","0.0172799805454375"
