"","var1","var2","r.value","P.value"
"1","Fungal_alpha","Plant_alpha",0.81104369298383,2.88527729264132e-07
"2","Bacterial_alpha","Plant_alpha",0.176244360059347,0.379200208228075
"3","SM","Plant_alpha",0.336020093008881,0.0865976071760155
"4","TOC","Plant_alpha",0.844542865339243,3.0513397586418e-08
"5","TC","Plant_alpha",0.8273222464531,1.02790674194608e-07
"6","TN","Plant_alpha",0.854001042664993,1.46934793221476e-08
"7","pH","Plant_alpha",-0.829011537541514,9.17916742615432e-08
"8","EC","Plant_alpha",-0.475516572772524,0.0121818701906258
"9","Bacterial_alpha","Fungal_alpha",0.171556413168783,0.392207289297424
"10","SM","Fungal_alpha",0.163787119322366,0.41431362940115
"11","TOC","Fungal_alpha",0.633588437394945,0.000388353709773082
"12","TC","Fungal_alpha",0.674980737020311,0.000112398444728878
"13","TN","Fungal_alpha",0.65737372362439,0.000194835932386894
"14","pH","Fungal_alpha",-0.644001190303186,0.000289187501300692
"15","EC","Fungal_alpha",-0.360637406384088,0.0646021143881597
"16","SM","Bacterial_alpha",-0.330440574558704,0.0922903345195993
"17","TOC","Bacterial_alpha",0.0626389309761217,0.756268210596612
"18","TC","Bacterial_alpha",0.0430093538477977,0.831321909936672
"19","TN","Bacterial_alpha",0.0765873111829777,0.704177840102468
"20","pH","Bacterial_alpha",-0.352145658782648,0.0716363097288784
"21","EC","Bacterial_alpha",-0.56548773256283,0.00211286343422268
"22","TOC","SM",0.393452582569991,0.0423130943105319
"23","TC","SM",0.393571147447157,0.0422454465193969
"24","TN","SM",0.37754922612294,0.052195419740334
"25","pH","SM",-0.137724108699178,0.493313503744002
"26","EC","SM",0.104473585032572,0.604042435480075
"27","TC","TOC",0.983295646229932,0
"28","TN","TOC",0.988719839510238,0
"29","pH","TOC",-0.828243599021516,9.66522928358415e-08
"30","EC","TOC",-0.340770306260232,0.0819641592580125
"31","TN","TC",0.98861353349959,0
"32","pH","TC",-0.831151640737287,7.93906580476289e-08
"33","EC","TC",-0.315871537508185,0.108481852278743
"34","pH","TN",-0.83794349686398,4.94087499802731e-08
"35","EC","TN",-0.318172269141529,0.105793817176571
"36","EC","pH",0.724155299369986,1.95303696710614e-05
"37","Fungal_beta","Plant_beta",0.275811602765104,0.163762734868862
"38","Bacterial_beta","Plant_beta",-0.0965139966708638,0.632015704325279
"39","SM_EU","Plant_beta",0.242465892757139,0.223011854191028
"40","TOC_EU","Plant_beta",0.475310820784995,0.0122245592071344
"41","TC_EU","Plant_beta",0.45242799428286,0.0178129331796462
"42","TN_EU","Plant_beta",0.454802010395881,0.0171500012674444
"43","pH_EU","Plant_beta",-0.0457882129552958,0.820592476065826
"44","EC_EU","Plant_beta",0.00541159327155831,0.978628024251807
"45","Spatial_distance","Plant_beta",0.513900064888622,0.00610704059882794
"46","Bacterial_beta","Fungal_beta",0.371290682491003,0.0565476755956964
"47","SM_EU","Fungal_beta",0.165970640429452,0.408031996256726
"48","TOC_EU","Fungal_beta",0.0628091770985746,0.755625586080171
"49","TC_EU","Fungal_beta",0.0884344766421377,0.660925053747513
"50","TN_EU","Fungal_beta",0.0860376674293438,0.669595599178286
"51","pH_EU","Fungal_beta",0.273139394890272,0.1680507064972
"52","EC_EU","Fungal_beta",0.197785015975659,0.322709700234638
"53","Spatial_distance","Fungal_beta",0.205318954707354,0.30423984226773
"54","SM_EU","Bacterial_beta",0.321541309880649,0.101947505993281
"55","TOC_EU","Bacterial_beta",-0.0538482472752682,0.789656150912569
"56","TC_EU","Bacterial_beta",-0.179965434641566,0.369055516237606
"57","TN_EU","Bacterial_beta",0.0030424177368834,0.987983673740115
"58","pH_EU","Bacterial_beta",0.724740098693277,1.90863485998172e-05
"59","EC_EU","Bacterial_beta",0.567147793152627,0.00203607432902242
"60","Spatial_distance","Bacterial_beta",-0.27023639900004,0.172797988134664
"61","TOC_EU","SM_EU",0.222660683891732,0.264285989900989
"62","TC_EU","SM_EU",0.203131782223155,0.309532533342991
"63","TN_EU","SM_EU",0.206196119204648,0.302133156284715
"64","pH_EU","SM_EU",0.231422459981478,0.245456331343247
"65","EC_EU","SM_EU",0.222109687203071,0.265500503049467
"66","Spatial_distance","SM_EU",0.075246554944846,0.709132908148919
"67","TC_EU","TOC_EU",0.94469548227892,1.30784272300843e-13
"68","TN_EU","TOC_EU",0.948693189927235,5.24025267623074e-14
"69","pH_EU","TOC_EU",-0.0188214094755523,0.925761202006098
"70","EC_EU","TOC_EU",-0.131797393847945,0.512273539719882
"71","Spatial_distance","TOC_EU",0.505179219568287,0.00719360594867235
"72","TN_EU","TC_EU",0.949346527675911,4.48530101948563e-14
"73","pH_EU","TC_EU",-0.0817383701397964,0.685251873212257
"74","EC_EU","TC_EU",-0.235954884479025,0.236071526618512
"75","Spatial_distance","TC_EU",0.627792018007006,0.000455541898113365
"76","pH_EU","TN_EU",0.103758089946978,0.606535534342797
"77","EC_EU","TN_EU",-0.10029506288097,0.618662693462278
"78","Spatial_distance","TN_EU",0.564607752674638,0.00215456868903185
"79","EC_EU","pH_EU",0.785986351436681,1.18231825041448e-06
"80","Spatial_distance","pH_EU",-0.202026794540795,0.312228036351986
"81","Spatial_distance","EC_EU",-0.335037969490185,0.0875798584418659
